	SMILES	Number	Lattice
127	c1ccc(SSc2ccccc2)cc1	270	('23.96577456', '0.0', '0.0', '0.0', '23.96577456', '0.0', '0.0', '0.0', '23.96577456')
128	O=Cc1ccccc1C1SCCCS1	271	('31.57323624', '0.0', '0.0', '0.0', '31.57323624', '0.0', '0.0', '0.0', '31.57323624')
129	O=C(O)c1ccc(C(=O)O)c2ccccc12	272	('29.96790804', '0.0', '0.0', '0.0', '29.96790804', '0.0', '0.0', '0.0', '29.96790804')
130	O=C(O)c1cc(O)c(O)c(O)c1	273	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
131	c1nnnn1CCCn1cnnn1	275	('32.796323279999996', '0.0', '0.0', '0.0', '32.796323279999996', '0.0', '0.0', '0.0', '32.796323279999996')
132	c1cnc2nsnc2n1	276	('28.01643012', '0.0', '0.0', '0.0', '28.01643012', '0.0', '0.0', '0.0', '28.01643012')
133	Cc1cc2oc(=O)cc(C)c2o1	278	('30.2353128', '0.0', '0.0', '0.0', '30.2353128', '0.0', '0.0', '0.0', '30.2353128')
134	c1csc2sc3sccsc3sc2s1	280	('29.054297159999997', '0.0', '0.0', '0.0', '29.054297159999997', '0.0', '0.0', '0.0', '29.054297159999997')
135	O=c1c2ccccc2[nH]c2c(=O)c3ccccc3[nH]c12	282	('30.03405804', '0.0', '0.0', '0.0', '30.03405804', '0.0', '0.0', '0.0', '30.03405804')
136	Cn1c(=O)c2[nH]cnc2n(C)c1=O	283	('30.03405804', '0.0', '0.0', '0.0', '30.03405804', '0.0', '0.0', '0.0', '30.03405804')
137	N[C]1N=C(Sc2nnn[nH]2)[N]N1	292	('34.078469039999995', '0.0', '0.0', '0.0', '34.078469039999995', '0.0', '0.0', '0.0', '34.078469039999995')
138	COC(=O)/C=C\Sc1nc[nH]n1	295	('28.95639516', '0.0', '0.0', '0.0', '28.95639516', '0.0', '0.0', '0.0', '28.95639516')
139	Oc1ccc2c(c1)COC2	296	('18.516708', '0.0', '0.0', '0.0', '18.516708', '0.0', '0.0', '0.0', '18.516708')
140	c1ccc2c(c1)CC2	297	('29.67319656', '0.0', '0.0', '0.0', '29.67319656', '0.0', '0.0', '0.0', '29.67319656')
141	CCN(CC)CCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCN(CC)CC)C3=O	298	('28.38570588', '0.0', '0.0', '0.0', '28.38570588', '0.0', '0.0', '0.0', '28.38570588')
142	CCOc1ccc([N+](=O)[O-])cc1	301	('24.396172919999998', '0.0', '0.0', '0.0', '24.396172919999998', '0.0', '0.0', '0.0', '24.396172919999998')
143	Cc1cc(C)n(-c2c(-n3cccn3)c(-n3nc(C)cc3C)c(-n3nc(C)cc3C)c(-n3cccn3)c2-n2nc(C)cc2C)n1	302	('40.18750092', '0.0', '0.0', '0.0', '40.18750092', '0.0', '0.0', '0.0', '40.18750092')
144	CC1=Nn2cnnc2NC(=S)C1	305	('22.683734639999997', '0.0', '0.0', '0.0', '22.683734639999997', '0.0', '0.0', '0.0', '22.683734639999997')
145	Cn1c(=O)[nH][nH]c1=O	306	('22.6870686', '0.0', '0.0', '0.0', '22.6870686', '0.0', '0.0', '0.0', '22.6870686')
146	Cc1cc(=O)[nH][nH]1	307	('32.18774328', '0.0', '0.0', '0.0', '32.18774328', '0.0', '0.0', '0.0', '32.18774328')
147	Cc1c[nH]c(C(=O)NN)c1C	308	('32.2354242', '0.0', '0.0', '0.0', '32.2354242', '0.0', '0.0', '0.0', '32.2354242')
148	Cn1nnc(-c2cccc(-c3nnnn3C)n2)n1	309	('42.98125356', '0.0', '0.0', '0.0', '42.98125356', '0.0', '0.0', '0.0', '42.98125356')
149	O=C(CCCCC(=O)c1ccccc1)c1ccccc1	310	('32.32284804', '0.0', '0.0', '0.0', '32.32284804', '0.0', '0.0', '0.0', '32.32284804')
150	Nc1nnc(N)s1	311	('16.3665684', '0.0', '0.0', '0.0', '16.3665684', '0.0', '0.0', '0.0', '16.3665684')
151	n1onc2c1Nc1nonc1-c1nonc1-2	314	('26.98766532', '0.0', '0.0', '0.0', '26.98766532', '0.0', '0.0', '0.0', '26.98766532')
152	Cc1c[nH]c(=O)[nH]c1=O	317	('36.68239764', '0.0', '0.0', '0.0', '36.68239764', '0.0', '0.0', '0.0', '36.68239764')
153	O=C(O)c1ccc(C(=O)O)s1	319	('23.49902016', '0.0', '0.0', '0.0', '23.49902016', '0.0', '0.0', '0.0', '23.49902016')
154	CC1(C)N(O)C(c2cccs2)N(O)C1(C)C	321	('30.23806464', '0.0', '0.0', '0.0', '30.23806464', '0.0', '0.0', '0.0', '30.23806464')
155	C(Cc1nnn[nH]1)c1nnn[nH]1	322	('23.45721336', '0.0', '0.0', '0.0', '23.45721336', '0.0', '0.0', '0.0', '23.45721336')
156	CS(=O)(=O)c1cc(N)c(S(C)(=O)=O)cc1N	323	('31.35568212', '0.0', '0.0', '0.0', '31.35568212', '0.0', '0.0', '0.0', '31.35568212')
157	c1ccc2c(c1)OC1(O2)O[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2O1	326	('24.035364360000003', '0.0', '0.0', '0.0', '24.035364360000003', '0.0', '0.0', '0.0', '24.035364360000003')
158	O=[N+]([O-])c1cc(-n2cccn2)nc(-n2cccn2)c1	328	('20.40743376', '0.0', '0.0', '0.0', '20.40743376', '0.0', '0.0', '0.0', '20.40743376')
159	OCCOCCOc1cc(-c2ccccn2)nc(-c2ccccn2)c1	330	('31.02255072', '0.0', '0.0', '0.0', '31.02255072', '0.0', '0.0', '0.0', '31.02255072')
160	S=c1sc2c(s1)OCCO2	331	('35.40247452', '0.0', '0.0', '0.0', '35.40247452', '0.0', '0.0', '0.0', '35.40247452')
161	C1=C[C@H]2C[C@@H]1[C@H]1[C@@H]2[S]2[N][S]1[N]C(c1ccccc1)=N2	332	('54.72647712', '0.0', '0.0', '0.0', '54.72647712', '0.0', '0.0', '0.0', '54.72647712')
